All statistics are based on contigs of size >= 200 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     pos_sorted_bam_filtered.long
# contigs (>= 0 bp)          9508                        
# contigs (>= 1000 bp)       67                          
# contigs (>= 5000 bp)       0                           
# contigs (>= 10000 bp)      0                           
# contigs (>= 25000 bp)      0                           
# contigs (>= 50000 bp)      0                           
Total length (>= 0 bp)       2783972                     
Total length (>= 1000 bp)    86587                       
Total length (>= 5000 bp)    0                           
Total length (>= 10000 bp)   0                           
Total length (>= 25000 bp)   0                           
Total length (>= 50000 bp)   0                           
# contigs                    9508                        
Largest contig               3116                        
Total length                 2783972                     
Reference length             8771                        
GC (%)                       42.87                       
Reference GC (%)             48.03                       
N50                          271                         
NG50                         2944                        
N75                          223                         
NG75                         2790                        
L50                          3326                        
LG50                         2                           
L75                          6197                        
LG75                         3                           
# misassemblies              0                           
# misassembled contigs       0                           
Misassembled contigs length  0                           
# local misassemblies        0                           
# scaffold gap ext. mis.     0                           
# scaffold gap loc. mis.     0                           
# unaligned mis. contigs     0                           
# unaligned contigs          9495 + 0 part               
Unaligned length             2778454                     
Genome fraction (%)          40.315                      
Duplication ratio            1.561                       
# N's per 100 kbp            0.00                        
# mismatches per 100 kbp     28.28                       
# indels per 100 kbp         0.00                        
Largest alignment            526                         
Total aligned length         3577                        
NGA50                        -                           
