	ancestry	location	n_sample_location	n_sample_ancestry	n_ancestry_location	perc_ancestry_location
139	African	chr12_23432	13	24	1	0.5416666666666666
1020	African	chrX_45122	16	24	2	0.6666666666666666
51	African	chr10_57181	16	24	2	0.6666666666666666
1958	Asian	chrX_99134	10	19	3	0.5263157894736842
865	African	chr7_16708	16	24	3	0.6666666666666666
1329	Asian	chr17_74733	14	19	3	0.7368421052631579
352	African	chr19_18442	15	24	3	0.625
1745	Asian	chr6_157270	12	19	3	0.631578947368421
1493	Asian	chr20_62382	10	19	3	0.5263157894736842
1765	Asian	chr6_169372	13	19	3	0.6842105263157895
2260	European	chr17_74733	14	22	3	0.6363636363636364
260	African	chr16_71385	20	24	3	0.8333333333333334
940	African	chr8_53253	14	24	3	0.5833333333333334
1789	Asian	chr6_47466	10	19	3	0.5263157894736842
1236	Asian	chr14_104444	12	19	3	0.631578947368421
1672	Asian	chr4_178682	10	19	3	0.5263157894736842
1369	Asian	chr19_18442	11	19	3	0.5789473684210527
427	African	chr1_27107	16	24	3	0.6666666666666666
809	African	chr6_169372	16	24	3	0.6666666666666666
1653	Asian	chr3_72338	11	19	3	0.5789473684210527
453	African	chr20_11313	22	24	3	0.9166666666666666
1393	Asian	chr19_55449	11	19	3	0.5789473684210527
2701	European	chr6_169372	12	22	3	0.5454545454545454
1620	Asian	chr3_10366	10	19	3	0.5263157894736842
1606	Asian	chr2_48861	13	19	3	0.6842105263157895
515	African	chr21_33157	13	24	3	0.5416666666666666
788	African	chr6_157270	13	24	3	0.5416666666666666
1591	Asian	chr2_238904	12	19	3	0.631578947368421
2683	European	chr6_157270	12	22	3	0.5454545454545454
1578	Asian	chr2_217806	10	19	3	0.5263157894736842
1439	Asian	chr1_27107	10	19	3	0.5263157894736842
2540	European	chr2_238904	13	22	3	0.5909090909090909
1231	Asian	chr13_85247	14	19	3	0.7368421052631579
1225	Asian	chr13_24357	10	19	3	0.5263157894736842
2595	European	chr3_72338	16	22	3	0.7272727272727273
2847	European	chr9_89730	13	22	3	0.5909090909090909
1889	Asian	chr9_10798	10	19	3	0.5263157894736842
1843	Asian	chr8_130428	11	19	3	0.5789473684210527
1189	Asian	chr12_126929	10	19	3	0.5263157894736842
1032	African	chrX_99134	13	24	3	0.5416666666666666
1159	Asian	chr11_42722	12	19	3	0.631578947368421
2117	European	chr12_126929	13	22	3	0.5909090909090909
62	African	chr11_104079	17	24	3	0.7083333333333334
1135	Asian	chr11_104079	10	19	3	0.5263157894736842
1100	Asian	chr10_132155	10	19	3	0.5263157894736842
129	African	chr12_126929	14	24	3	0.5833333333333334
3324	Hispanic	chrY_10671	2	3	3	0.6666666666666666
1193	Asian	chr12_132182	12	19	3	0.631578947368421
1928	Asian	chr9_89730	10	19	3	0.5263157894736842
25	African	chr10_16323	13	24	3	0.5416666666666666
133	African	chr12_132182	16	24	3	0.6666666666666666
2608	European	chr4_138867	19	22	4	0.8636363636363636
2612	European	chr4_157983	16	22	4	0.7272727272727273
2852	European	chr9_93619	18	22	4	0.8181818181818182
2705	European	chr6_2376	20	22	4	0.9090909090909091
2619	European	chr4_179432	12	22	4	0.5454545454545454
2862	European	chrX_140724	17	22	4	0.7727272727272727
2864	European	chrX_145991	13	22	4	0.5909090909090909
2865	European	chrX_153383	21	22	4	0.9545454545454546
2622	European	chr4_38734	19	22	4	0.8636363636363636
2699	European	chr6_168120	14	22	4	0.6363636363636364
2623	European	chr4_38754	19	22	4	0.8636363636363636
2628	European	chr4_52200	13	22	4	0.5909090909090909
2930	Hispanic	chr10_126892	2	3	4	0.6666666666666666
2632	European	chr4_7131	22	22	4	1.0
2697	European	chr6_167652	13	22	4	0.5909090909090909
2690	European	chr6_165678	18	22	4	0.8181818181818182
2927	Hispanic	chr10_119394	2	3	4	0.6666666666666666
2685	European	chr6_159605	15	22	4	0.6818181818181818
2634	European	chr4_79784	15	22	4	0.6818181818181818
2655	European	chr5_42090	16	22	4	0.7272727272727273
2682	European	chr6_157238	17	22	4	0.7727272727272727
2681	European	chr6_150269	13	22	4	0.5909090909090909
2677	European	chr6_116048	18	22	4	0.8181818181818182
2676	European	chr6_11492	18	22	4	0.8181818181818182
2712	European	chr6_3777	14	22	4	0.6363636363636364
2806	European	chr8_53594	14	22	4	0.6363636363636364
2713	European	chr6_39845	21	22	4	0.9545454545454546
2804	European	chr8_52276	13	22	4	0.5909090909090909
2815	European	chr9_121896	19	22	4	0.8636363636363636
2817	European	chr9_123348	22	22	4	1.0
2803	European	chr8_48174	21	22	4	0.9545454545454546
2825	European	chr9_131964	14	22	4	0.6363636363636364
2802	European	chr8_47764	19	22	4	0.8636363636363636
2833	European	chr9_2782	15	22	4	0.6818181818181818
2836	European	chr9_36764	20	22	4	0.9090909090909091
2800	European	chr8_41901	15	22	4	0.6818181818181818
2799	European	chr8_40821	20	22	4	0.9090909090909091
2842	European	chr9_87870	12	22	4	0.5454545454545454
2795	European	chr8_29820	16	22	4	0.7272727272727273
2794	European	chr8_27438	12	22	4	0.5454545454545454
2792	European	chr8_21767	21	22	4	0.9545454545454546
2850	European	chr9_93209	15	22	4	0.6818181818181818
2791	European	chr8_20622	12	22	4	0.5454545454545454
2843	European	chr9_88974	21	22	4	0.9545454545454546
2784	European	chr8_142432	21	22	4	0.9545454545454546
2776	European	chr8_138806	14	22	4	0.6363636363636364
2773	European	chr8_1338	12	22	4	0.5454545454545454
2772	European	chr8_1337	13	22	4	0.5909090909090909
2846	European	chr9_89255	18	22	4	0.8181818181818182
2771	European	chr8_130898	12	22	4	0.5454545454545454
2766	European	chr7_99220	14	22	4	0.6363636363636364
2748	European	chr7_31657	16	22	4	0.7272727272727273
2744	European	chr7_158595	15	22	4	0.6818181818181818
2738	European	chr7_155891	15	22	4	0.6818181818181818
2737	European	chr7_155318	12	22	4	0.5454545454545454
2732	European	chr7_131655	20	22	4	0.9090909090909091
2726	European	chr7_102933	16	22	4	0.7272727272727273
2790	European	chr8_17796	13	22	4	0.5909090909090909
2785	European	chr8_142502	20	22	4	0.9090909090909091
2521	European	chr2_133504	13	22	4	0.5909090909090909
2573	European	chr3_155309	14	22	4	0.6363636363636364
2151	European	chr13_22679	18	22	4	0.8181818181818182
2164	European	chr14_100527	15	22	4	0.6818181818181818
2180	European	chr14_82288	19	22	4	0.8636363636363636
2198	European	chr15_26893	21	22	4	0.9545454545454546
2208	European	chr15_53874	17	22	4	0.7727272727272727
2214	European	chr15_83695	15	22	4	0.6818181818181818
2218	European	chr15_94052	16	22	4	0.7272727272727273
2144	European	chr13_112973	19	22	4	0.8636363636363636
2220	European	chr16_10040	21	22	4	0.9545454545454546
2233	European	chr16_87502	20	22	4	0.9090909090909091
2237	European	chr16_88350	13	22	4	0.5909090909090909
2256	European	chr17_5623	16	22	4	0.7272727272727273
2273	European	chr18_13982	17	22	4	0.7727272727272727
2280	European	chr18_37284	18	22	4	0.8181818181818182
2284	European	chr18_63103	19	22	4	0.8636363636363636
2289	European	chr18_79542	20	22	4	0.9090909090909091
2231	European	chr16_86014	17	22	4	0.7727272727272727
2142	European	chr13_111622	19	22	4	0.8636363636363636
2141	European	chr13_111435	20	22	4	0.9090909090909091
2133	European	chr12_57192	20	22	4	0.9090909090909091
2022	European	chr10_131512	19	22	4	0.8636363636363636
2043	European	chr10_46526	19	22	4	0.8636363636363636
2046	European	chr10_49742	21	22	4	0.9545454545454546
2054	European	chr10_84602	18	22	4	0.8181818181818182
2067	European	chr11_126799	22	22	4	1.0
2068	European	chr11_132126	16	22	4	0.7272727272727273
2075	European	chr11_2188	20	22	4	0.9090909090909091
2078	European	chr11_30929	17	22	4	0.7727272727272727
2080	European	chr11_356	12	22	4	0.5454545454545454
2093	European	chr11_69111	14	22	4	0.6363636363636364
2094	European	chr11_69216	13	22	4	0.5909090909090909
2095	European	chr11_69292	15	22	4	0.6818181818181818
2098	European	chr11_70803	13	22	4	0.5909090909090909
2111	European	chr12_110881	18	22	4	0.8181818181818182
2119	European	chr12_130055	16	22	4	0.7272727272727273
2122	European	chr12_132167	14	22	4	0.6363636363636364
2126	European	chr12_132743	16	22	4	0.7272727272727273
2291	European	chr18_855	17	22	4	0.7727272727272727
2297	European	chr19_1550	18	22	4	0.8181818181818182
2300	European	chr19_29010	13	22	4	0.5909090909090909
2304	European	chr19_33250	22	22	4	1.0
2453	European	chr21_38508	17	22	4	0.7727272727272727
2455	European	chr21_38914	19	22	4	0.8636363636363636
2466	European	chr21_7916	13	22	4	0.5909090909090909
2484	European	chr21_9246	14	22	4	0.6363636363636364
2508	European	chr22_48605	12	22	4	0.5454545454545454
2510	European	chr22_49277	14	22	4	0.6363636363636364
2515	European	chr2_119694	14	22	4	0.6363636363636364
2931	Hispanic	chr10_131512	3	3	4	1.0
2531	European	chr2_218083	22	22	4	1.0
2535	European	chr2_234515	22	22	4	1.0
2536	European	chr2_235169	16	22	4	0.7272727272727273
2539	European	chr2_236888	20	22	4	0.9090909090909091
2544	European	chr2_241517	20	22	4	0.9090909090909091
2548	European	chr2_2750	22	22	4	1.0
2550	European	chr2_3046	15	22	4	0.6818181818181818
2554	European	chr2_4974	12	22	4	0.5454545454545454
2569	European	chr3_126540	18	22	4	0.8181818181818182
2452	European	chr21_38060	15	22	4	0.6818181818181818
2578	European	chr3_176966	16	22	4	0.7272727272727273
2451	European	chr21_37708	14	22	4	0.6363636363636364
2429	European	chr20_58520	14	22	4	0.6363636363636364
2306	European	chr19_33459	19	22	4	0.8636363636363636
2330	European	chr1_11374	17	22	4	0.7727272727272727
2333	European	chr1_14493	17	22	4	0.7727272727272727
2336	European	chr1_168395	19	22	4	0.8636363636363636
2340	European	chr1_18050	12	22	4	0.5454545454545454
2341	European	chr1_182138	18	22	4	0.8181818181818182
2345	European	chr1_204195	18	22	4	0.8181818181818182
2348	European	chr1_20464	15	22	4	0.6818181818181818
2350	European	chr1_223081	12	22	4	0.5454545454545454
2364	European	chr1_27086	19	22	4	0.8636363636363636
2367	European	chr1_3026	14	22	4	0.6363636363636364
2370	European	chr1_41425	12	22	4	0.5454545454545454
2386	European	chr1_8277	13	22	4	0.5909090909090909
2392	European	chr20_22472	19	22	4	0.8636363636363636
2394	European	chr20_25067	18	22	4	0.8181818181818182
2395	European	chr20_25602	17	22	4	0.7727272727272727
2426	European	chr20_44405	13	22	4	0.5909090909090909
2436	European	chr20_61444	21	22	4	0.9545454545454546
2933	Hispanic	chr10_15149	2	3	4	0.6666666666666666
12	African	chr10_126892	17	24	4	0.7083333333333334
2935	Hispanic	chr10_2667	2	3	4	0.6666666666666666
3190	Hispanic	chr4_157983	2	3	4	0.6666666666666666
3193	Hispanic	chr4_179432	2	3	4	0.6666666666666666
3194	Hispanic	chr4_187453	2	3	4	0.6666666666666666
3196	Hispanic	chr4_38734	2	3	4	0.6666666666666666
3197	Hispanic	chr4_38754	3	3	4	1.0
3200	Hispanic	chr4_54617	2	3	4	0.6666666666666666
3201	Hispanic	chr4_7131	3	3	4	1.0
3202	Hispanic	chr4_79784	2	3	4	0.6666666666666666
3210	Hispanic	chr5_135779	3	3	4	1.0
3215	Hispanic	chr5_42090	2	3	4	0.6666666666666666
3221	Hispanic	chr5_96516	2	3	4	0.6666666666666666
3223	Hispanic	chr6_11492	3	3	4	1.0
3224	Hispanic	chr6_116048	3	3	4	1.0
3226	Hispanic	chr6_150269	2	3	4	0.6666666666666666
3227	Hispanic	chr6_157238	2	3	4	0.6666666666666666
3228	Hispanic	chr6_159605	2	3	4	0.6666666666666666
3229	Hispanic	chr6_165678	2	3	4	0.6666666666666666
3188	Hispanic	chr4_155349	2	3	4	0.6666666666666666
3187	Hispanic	chr4_138867	2	3	4	0.6666666666666666
3185	Hispanic	chr4_102864	2	3	4	0.6666666666666666
3184	Hispanic	chr4_101164	3	3	4	1.0
3131	Hispanic	chr22_20252	2	3	4	0.6666666666666666
3136	Hispanic	chr22_43476	2	3	4	0.6666666666666666
3142	Hispanic	chr2_127193	2	3	4	0.6666666666666666
3145	Hispanic	chr2_133504	2	3	4	0.6666666666666666
3146	Hispanic	chr2_14274	2	3	4	0.6666666666666666
3149	Hispanic	chr2_218083	3	3	4	1.0
3150	Hispanic	chr2_234515	2	3	4	0.6666666666666666
3151	Hispanic	chr2_235169	2	3	4	0.6666666666666666
3232	Hispanic	chr6_167652	2	3	4	0.6666666666666666
3153	Hispanic	chr2_236888	3	3	4	1.0
3157	Hispanic	chr2_2750	3	3	4	1.0
3160	Hispanic	chr2_38712	2	3	4	0.6666666666666666
3161	Hispanic	chr2_4974	2	3	4	0.6666666666666666
